Слово,Транскрипция
Ааргау,ˈaərɡəʊ
Аарон,ɐɐˈron
Ааронов,ɐɐˈronəf
Ааронович,ɐɐˈronəvʲɪt͡ɕ
Аахен,ˈaəxʲɪn
Аедоницкий,ɐ(ɪ̯)ɪdɐˈnʲit͡skʲɪɪ̯
Ажгибесов,ɐʐɡʲɪˈbʲesəf
Аза,ˈazə
Азавад,ɐzɐˈvat
Азалия,ɐˈzalʲɪɪ̯ə
Азанчевский,ɐzɐnʲˈt͡ɕefskʲɪɪ̯
Азарин,ɐˈzarʲɪn
Азаров,ɐˈzarəf
Азарьев,ɐˈzarʲɪ̯ɪf
Азербайджан,ɐzʲɪrbɐɪ̯d͡ʐˈʐan
Азеф,ɐˈzʲef
Азизов,ɐˈzʲizəf
Азимов,ɐˈzʲiməf
Азия,ˈazʲɪɪ̯ə
Азов,ɐˈzof
Азорские,ɐˈzorskʲɪɪ̯
Азямов,ɐˈzʲaməf
Азёрников,ɐˈzʲɵrnʲɪkəf
Аид,ɐˈit
Аида,ɐˈidə
Айболит,ɐɪ̯bɐˈlʲit
Айвазов,ɐɪ̯ˈvazəf
Айвазовский,ɐɪ̯vɐˈzofskʲɪɪ̯
Айова,ɐˈjɵvə
Айсин,ˈaɪ̯sʲɪn
Аушев,ˈaʊʂɨf
Афанас,ɐfɐˈnas
Афанасенко,ɐfɐˈnasʲɪnkə
Афанасий,ɐfɐˈnasʲɪɪ̯
Афанасия,ɐfɐˈnasʲɪɪ̯ə
Афанасов,ɐfɐˈnasəf
Афанасьев,ɐfɐˈnasʲɪ̯ɪf
Афанасьевич,ɐfɐˈnasʲɪ̯ɪvʲɪt͡ɕ
Афган,ɐvˈɡan
Афганистан,ɐvɡənʲɪˈstan
Афина,ɐˈfʲinə
Афины,ɐˈfʲinɨ
Африка,ˈafrʲɪkə
Африканов,ɐfrʲɪˈkanəf
Африканский,ɐfrʲɪˈkanskʲɪɪ̯
Африкантов,ɐfrʲɪˈkantəf
Афродита,ɐfrɐˈdʲitə
Афродита,ɐfrɐˈdʲitə
Афросимов,ɐfrɐˈsʲiməf
Ахеронт,ɐxʲɪˈront
Ахилл,ɐˈxʲiɫ
Ахиллес,ɐxʲɪˈlʲes
Ахмад,ɐˈxmat
Ахмадулин,ɐxmɐˈdulʲɪn
Ахмед,ɐˈxmʲet
Ахмедов,ɐˈxmʲedəf
Ахметов,ɐˈxmʲetəf
Ахметшин,ɐˈxmʲet͡ʂʂɨn
Ахрамеев,ɐxrɐˈmʲe(ɪ̯)ɪf
Ахраменко,ɐxrɐˈmʲenkə
Ахременко,ɐxrʲɪˈmʲenkə
Ахромеев,ɐxrɐˈmʲe(ɪ̯)ɪf
Ахунов,ɐˈxunəf
Ашман,ɐˈʂman
Ашхабад,ɐʂxɐˈbat
Аюдаг,ɐɪ̯ʊˈdak
Аюрведа,ɐɪ̯ʊrˈvʲedə
Ая,ˈaɪ̯ə
Аязгулов,ɐ(ɪ̯)ɪzˈɡuɫəf
Аякс,ɐˈjaks
Аяксы,ɐˈjaks
Аякучо,ɐjaˈkut͡ɕɵ
Аян,ɐˈjan
Аяцков,ɐˈjat͡skəf
аангич,ɐɐnˈɡʲit͡ɕ
ааронов,ɐɐˈronəf
ааронов,ɐɐˈronəf
аароновец,ɐɐˈronəvʲɪt͡s
аароновский,ɐɐˈronəfskʲɪɪ̯
аароновцы,ɐɐˈronəvʲɪt͡s
аароновщина,ɐɐˈronəfɕːɪnə
аахенец,ˈaəxʲɪnʲɪt͡s
аахенский,ɐˈaxʲɪnskʲɪɪ̯
абонентский,ɐbɐˈnʲen(t)skʲɪɪ̯
аевит,ɐ(ɪ̯)ɪˈvʲit
аж,aʂ
ажан,ɐˈʐan
ажгон,ɐˈʐɡon
ажио,ˈaʐɨo
ажиотаж,ɐʐɨɐˈtaʂ
ажиотажный,ɐʐɨɐˈtaʐnɨɪ̯
ажиотировать,ɐʐɨɐˈtʲirəvətʲ
ажитато,ɐʐɨˈtatə
ажитация,ɐʐɨˈtat͡sɨɪ̯ə
ажно,ˈaʐnə
ажур,ɐˈʐur
ажурно,ɐˈʐurnə
ажурность,ɐˈʐurnəsʲtʲ
ажурный,ɐˈʐurnɨɪ̯
ажюстировать,ɐʐʊˈsʲtʲirəvətʲ
азалия,ɐˈzalʲɪɪ̯ə
азан,ɐˈzan
азарин,ɐzɐˈrʲin
азарт,ɐˈzart
азартная,ɐˈzartnɨɪ̯
азартничать,ɐˈzart⁽ʲ⁾nʲɪt͡ɕɪtʲ
азартно,ɐˈzartnə
азартность,ɐˈzartnəsʲtʲ
азартный,ɐˈzartnɨɪ̯
азат,ɐˈzat
азбест,ɐˈzbʲest
азбука,ˈazbʊkə
азбуковник,ɐzbʊˈkovnʲɪk
азбучка,ˈazbʊt͡ɕkə
азбучная,ˈazbʊt͡ɕnɨɪ̯
азбучно,ˈazbʊt͡ɕnə
азбучность,ˈazbʊt͡ɕnəsʲtʲ
азбучный,ˈazbʊt͡ɕnɨɪ̯
азеотропный,ɐzʲɪɐˈtropnɨɪ̯
азербайджанец,ɐzʲɪrbɐɪ̯d͡ʐˈʐanʲɪt͡s
азербайджанка,ɐzʲɪrbɐɪ̯d͡ʐˈʐankə
азербайджанский,ɐzʲɪrbɐɪ̯d͡ʐˈʐanskʲɪɪ̯
азербайджанско-российский,ɐzʲɪrbɐɪ̯d͡ʐˌʐanskə rɐˈsʲiɪ̯skʲɪɪ̯
азербайджанцы,ɐzʲɪrbɐɪ̯d͡ʐˈʐanʲɪt͡s
азефовский,ɐˈzʲefəfskʲɪɪ̯
азефовщина,ɐˈzʲefəfɕːɪnə
азианизм,ɐzʲɪɐˈnʲizm
азианический,ɐzʲɪɐˈnʲit͡ɕɪskʲɪɪ̯
азиат,ɐzʲɪˈat
азиатка,ɐzʲɪˈatkə
азиатский,ɐzʲɪˈat͡skʲɪɪ̯
азиатско-тихоокеанский,ɐzʲɪˌat͡skə tʲɪxɐɐkʲɪˈanskʲɪɪ̯
азиатчина,ɐzʲɪˈat͡ɕːɪnə
азиаты,ɐzʲɪˈat
азид,ɐˈzʲit
азиды,ɐˈzʲit
азизбековец,ɐzʲɪˈzbʲekəvʲɪt͡s
азимут,ˈazʲɪmʊt
азимутальный,ɐzʲɪmʊˈtalʲnɨɪ̯
азимутный,ˈazʲɪmʊtnɨɪ̯
азины,ɐˈzʲin
азнакаевец,ɐznɐˈka(ɪ̯)ɪvʲɪt͡s
азобензол,ɐzəbʲɪnˈzoɫ
азобилирубин,ɐzəbʲɪlʲɪrʊˈbʲin
азовец,ɐˈzovʲɪt͡s
азово-черноморский,ɐˌzovə t͡ɕɪrnɐˈmorskʲɪɪ̯
азовский,ɐˈzofskʲɪɪ̯
азовчанин,ɐzɐfˈt͡ɕænʲɪn
азогруппа,ɐzɐˈɡrup(ː)ə
азойский,ɐˈzoɪ̯skʲɪɪ̯
азокраситель,ɐzəkrɐˈsʲitʲɪlʲ
азоксисоединения,ɐˌzoksʲɪsə(ɪ̯)ɪdʲɪˈnʲenʲɪɪ̯ə
азометан,ɐzəmʲɪˈtan
азональность,ɐzɐˈnalʲnəsʲtʲ
азональный,ɐzɐˈnalʲnɨɪ̯
азооспермия,ɐˌzoəspʲɪrˈmʲiɪ̯ə
азопигмент,ˌazəpʲɪɡˈmʲent
азосоединения,ˌazəsə(ɪ̯)ɪdʲɪˈnʲenʲɪɪ̯ə
азосоставляющая,ɐzəsəstɐˈvlʲæɪ̯ʊɕːɪɪ̯ə
азосочетание,ɐzəsət͡ɕɪˈtanʲɪɪ̯ə
азот,ɐˈzot
азотемия,ɐzətɛˈmʲiɪ̯ə
азотизация,ɐzətʲɪˈzat͡sɨɪ̯ə
азотирование,ɐzɐˈtʲirəvənʲɪɪ̯ə
азотировать,ɐzɐˈtʲirəvətʲ
азотироваться,ɐzɐˈtʲirəvət͡sə
азотисто-водородный,ɐˌzotʲɪstə vədɐˈrodnɨɪ̯
азотистокислый,ɐˌzotʲɪstɐˈkʲisɫɨɪ̯
азотистый,ɐˈzotʲɪstɨɪ̯
азотно-калийно-фосфорный,ɐˌzotnə kɐˌlʲiɪ̯nə ˈfosfərnɨɪ̯
азотно-калийный,ɐˌzotnə kɐˈlʲiɪ̯nɨɪ̯
азотно-туковый,ɐˌzotnə ˈtukəvɨɪ̯
азотно-фосфорный,ɐˌzotnə ˈfosfərnɨɪ̯
азотноватистый,ɐzətnɐˈvatʲɪstɨɪ̯
азотноватый,ɐzətnɐˈvatɨɪ̯
азотнокислый,ɐˌzotnɐˈkʲisɫɨɪ̯
азотный,ɐˈzotnɨɪ̯
азотобактер,ɐˌzotɐˈbaktʲɪr
азотобактерии,ɐˌzotəbɐˈktʲerʲɪɪ̯ə
азотобактерин,ɐˌzotəbəktɛˈrʲin
азотоген,ɐzətɐˈɡʲen
азотометр,ɐzətɐˈmʲetr
азотоотдающий,ɐˌzotɐɐdːɐˈjʉɕːɪɪ̯
азотосодержащий,ɐˌzotəsədʲɪrˈʐaɕːɪɪ̯
азототдающий,ɐˌzotədɐˈjʉɕːɪɪ̯
азотоусваивающий,ɐˌzotəʊˈsvaɪvəjʉɕːɪɪ̯
азотофиксирующий,ɐˌzotəfʲɪˈksʲirʊjʉɕːɪɪ̯
азотсодержащий,ɐˌzot͡ssədʲɪrˈʐaɕːɪɪ̯
азотурия,ɐzətʊˈrʲiɪ̯ə
азотусваивающий,ɐˌzotʊˈsvaɪvəjʉɕːɪɪ̯
азотфиксаторы,ɐˌzotfʲɪˈksatər
азотфиксация,ɐˌzotfʲɪˈksat͡sɨɪ̯ə
азотфиксирующий,ɐˌzotfʲɪˈksʲirʊjʉɕːɪɪ̯
азофоска,ɐzɐˈfoskə
азу,ɐˈzu
азур,ɐˈzur
азурит,ɐzʊˈrʲit
азы,ɐˈzɨ
азюлянт,ɐzʲʉˈlʲant
азям,ɐˈzʲam
азямчик,ɐˈzʲamt͡ɕɪk
аид,ɐˈit
аил,ɐˈiɫ
аильный,ɐˈilʲnɨɪ̯
аир,ɐˈir
аирный,ɐˈirnɨɪ̯
аирный,ɐˈirnɨɪ̯
аист,ˈaɪst
аист-разиня,ˈaɪst rɐˈzʲinʲə
аистиный,ɐɪˈsʲtʲinɨɪ̯
аистиха,ɐɪˈsʲtʲixə
аистник,ˈaɪsʲnʲɪk
аистовый,ˈaɪstəvɨɪ̯
аистообразные,ˌaɪstɐɐˈbraznɨɪ
аистёнок,ɐɪˈsʲtʲɵnək
аифовец,ɐˈifəvʲɪt͡s
аифовский,ɐˈifəfskʲɪɪ̯
айва,ɐɪ̯ˈva
айван,ɐɪ̯ˈvan
айвовый,ɐɪ̯ˈvovɨɪ̯
айда,ɐɪ̯ˈda
айдойомания,ɐɪ̯də(ɪ̯)ɪˈmanʲɪɪ̯ə
айе-айе,ˈaɪ̯ːe ˈaɪ̯ːe
айкание,ˈaɪ̯kənʲɪɪ̯ə
айканье,ˈaɪ̯kənʲɪ̯ə
айкать,ˈaɪ̯kətʲ
айкающий,ˈaɪ̯kəjʉɕːɪɪ̯
айкидо,ɐɪ̯kʲɪˈdo
айкидоист,ɐɪ̯kʲɪdɐˈist
айкинец,ˈaɪ̯kʲɪnʲɪt͡s
айкнуть,ˈaɪ̯knʊtʲ
айлант,ɐɪ̯ˈɫant
айлантовый,ɐɪ̯ˈɫantəvɨɪ̯
аймак,ɐɪ̯ˈmak
аймаковый,ɐɪ̯mɐˈkovɨɪ̯
аймарский,ɐɪ̯ˈmarskʲɪɪ̯
аймачный,ɐɪ̯ˈmat͡ɕnɨɪ̯
айнинец,ɐɪ̯ˈnʲinʲɪt͡s
айнский,ˈaɪ̯nskʲɪɪ̯
айован,ɐjɵˈvan
айованец,ɐ(ɪ̯)ɪˈvanʲɪt͡s
айованка,ɐ(ɪ̯)ɪˈvankə
айованский,ɐ(ɪ̯)ɪˈvanskʲɪɪ̯
айованцы,ɐ(ɪ̯)ɪˈvanʲɪt͡s
айовец,ɐˈjɵvʲɪt͡s
айовский,ˈajɵfskʲɪɪ̯
айовцы,ɐˈjɵvʲɪt͡s
айрак,ɐɪ̯ˈrak
айран,ɐɪ̯ˈran
айрол,ɐɪ̯ˈroɫ
айрширы,ɐɪ̯rˈʂɨr
айс-ревю,ˌaɪ̯s rʲɪˈvʲu
айс-фифи,ˌaɪ̯s fʲɪˈfʲi
айсбайль,ɐɪ̯ˈzbaɪ̯lʲ
айсберг,ˈaɪ̯zbʲɪrk
айсинг,ˈaɪ̯sʲɪnk
айсор,ɐɪ̯ˈsor
айсорка,ɐɪ̯ˈsorkə
айсорский,ɐɪ̯ˈsorskʲɪɪ̯
айсоры,ɐɪ̯ˈsor
айтматовский,ɐɪ̯tˈmatəfskʲɪɪ̯
айяуаска,ɐjaʊˈaskə
аонид,ɐɐˈnʲidə
аониды,ɐɐˈnʲidə
аорист,ɐˈorʲɪst
аорта,ɐˈortə
аортальный,ɐɐrˈtalʲnɨɪ̯
аортит,ɐɐrˈtʲit
аортный,ɐˈortnɨɪ̯
аортовый,ɐˈortəvɨɪ̯
аортокоронарный,ɐˌortəkərɐˈnarnɨɪ̯
аугментатив,ɐʊɡmʲɪntɐˈtʲif
аугментативный,ɐʊɡmʲɪntɐˈtʲivnɨɪ̯
аугментация,ɐʊɡmʲɪnˈtat͡sɨɪ̯ə
аугсбургец,ˈaʊɡzbʊrɡʲɪt͡s
аугсбургский,ɐʊɡˈzburkskʲɪɪ̯
ауди,ˈaʊdʲɪ
аудиенц-зал,ɐʊdʲɪˌɛnd͡z ˈzaɫ
аудиенция,ɐʊdʲɪˈɛnt͡sɨɪ̯ə
аудио,ˈaʊdʲɪo
аудио-видеоусилитель,ˌaʊdʲɪɐˌvʲidʲɪəʊsʲɪˈlʲitʲɪlʲ
аудиоаппаратура,ˌaʊdʲɪɐɐpərɐˈturə
аудиобизнес,ˌaʊdʲɪɐˈbʲiznɛs
аудиобуфер,ˌaʊdʲɪɐˈbufʲɪr
аудиовидеоаппаратура,ˌaʊdʲɪɐˌvʲidʲɪɐɐpərɐˈturə
аудиовидеорынок,ˌaʊdʲɪɐˌvʲidʲɪɐˈrɨnək
аудиовидеоспонсор,ˌaʊdʲɪɐˌvʲidʲɪɐˈsponsər
аудиовидеостудия,ˌaʊdʲɪɐˌvʲidʲɪɐˈstudʲɪɪ̯ə
аудиовизуальный,ˌaʊdʲɪəvʲɪzʊˈalʲnɨɪ̯
аудиовыход,ˌaʊdʲɪɐˈvɨxət
аудиогенный,ɐʊdʲɪɐˈɡʲenːɨɪ̯
аудиограмма,ɐʊdʲɪɐˈɡram(ː)ə
аудиодомофон,ˌaʊdʲɪədəmɐˈfon
аудиозапись,ˌaʊdʲɪɐˈzapʲɪsʲ
аудиокассета,ˌaʊdʲɪəkɐˈsʲ(ː)etə
аудиоклип,ˌaʊdʲɪɐˈklʲip
аудиокомпакт-диск,ˌaʊdʲɪəkɐmˌpaɡd ˈdʲisk
аудиокомплекс,ˌaʊdʲɪɐˈkomplʲɪks
аудиокурс,ˌaʊdʲɪɐˈkurs
аудиолента,ˌaʊdʲɪɐˈlʲentə
аудиологический,ɐʊdʲɪəɫɐˈɡʲit͡ɕɪskʲɪɪ̯
аудиология,ɐʊdʲɪɐˈɫoɡʲɪɪ̯ə
аудиометр,ɐʊdʲɪˈomʲɪtr
аудиометрия,ɐʊdʲɪɐˈmʲetrʲɪɪ̯ə
аудиоплата,ˌaʊdʲɪɐˈpɫatə
аудиоплеер,ˌaʊdʲɪɐˈplʲe(ɪ̯)ɪr
аудиоплейер,ˌaʊdʲɪɐˈpɫɛ(ɪ̯)ɪr
аудиоплэйер,ˌaʊdʲɪɐˈpɫɛ(ɪ̯)ɪr
аудиоподсистема,ˌaʊdʲɪəpətʲ͡sʲsʲɪˈsʲtʲemə
аудиопоток,ˌaʊdʲɪəpɐˈtok
аудиопроигрыватель,ˌaʊdʲɪəprɐˈiɡrɨvətʲɪlʲ
аудиосалон,ɐʊdʲɪəsɐˈɫon
аудиосенсор,ˌaʊdʲɪɐˈsʲensər
аудиосервис,ɐʊdʲɪɐˈsʲervʲɪs
аудиосистема,ˌaʊdʲɪəsʲɪˈsʲtʲemə
аудиоспектрометр,ˌaʊdʲɪəspʲɪkˈtromʲɪtr
аудиосреда,ˌaʊdʲɪəsrʲɪˈda
аудиостенограмма,ˌaʊdʲɪəsʲtʲɪnɐˈɡram(ː)ə
аудиостенография,ˌaʊdʲɪəsʲtʲɪnɐˈɡrafʲɪɪ̯ə
аудиостимулятор,ˌaʊdʲɪəsʲtʲɪmʊˈlʲatər
аудиостимуляция,ˌaʊdʲɪəsʲtʲɪmʊˈlʲat͡sɨɪ̯ə
аудиотекст,ˌaʊdʲɪɐˈtʲekst
аудиотекстовый,ˌaʊdʲɪɐˈtʲekstəvɨɪ̯
аудиотехника,ˌaʊdʲɪɐˈtʲexnʲɪkə
аудиотрансляция,ˌaʊdʲɪətrɐnˈslʲat͡sɨɪ̯ə
аудиофайл,ˌaʊdʲɪɐˈfaɪ̯ɫ
аудиоцентр,ˌaʊdʲɪɐˈt͡sɛntr
аудиочастотомер,ˌaʊdʲɪət͡ɕɪˌstotɐˈmʲer
аудирование,ɐʊˈdʲirəvənʲɪɪ̯ə
аудировать,ɐʊˈdʲirəvətʲ
аудит,ɐʊˈdʲit
аудитор,ɐʊˈdʲitər
аудиториат,ɐʊdʲɪtərʲɪˈat
аудитория,ɐʊdʲɪˈtorʲɪɪ̯ə
аудиторный,ɐʊdʲɪˈtornɨɪ̯
аудиторский,ɐʊˈdʲitərskʲɪɪ̯
аудиторство,ɐʊˈdʲitərstvə
аудринец,ˈaʊdrʲɪnʲɪt͡s
аукание,ɐˈukənʲɪɪ̯ə
ауканье,ɐˈukənʲɪ̯ə
аукать,ɐˈukətʲ
